File,MedianLogRho_det,MedianRho_det,Nperiods
PRIDE.ZAM001A_RH_ZAM00.2011-2012.edi,7.037120085165629,10892312.312254572,84
PRIDE.ZAM002A_RH_ZAM00.2011-2012.edi,7.171025488263742,14826309.816345172,84
PRIDE.ZAM003A_RH_ZAM00.2011-2012.edi,7.313990582449713,20605962.506836712,84
PRIDE.ZAM004A_RH_ZAM00.2011-2012.edi,7.57575056956793,37648807.771666124,60
PRIDE.ZAM006A_RH_ZAM00.2011-2012.edi,7.168413252698533,14738868.96107542,84
PRIDE.ZAM007A_RH_ZAM01.2011-2012.edi,9.400320216247348,2514001592.538136,84
PRIDE.ZAM008A_RH_ZAM01.2011-2012.edi,9.434972063832166,2723015741.291934,88
PRIDE.ZAM009A_RH_ZAM01.2011-2012.edi,9.007787473444601,1018146458.1076698,84
PRIDE.ZAM010A_RH_ZAM00.2011-2012.edi,8.761661855681709,577692359.1360346,88
PRIDE.ZAM011A_RH_ZAM00.2011-2012.edi,9.032247301577577,1077078955.5670342,84
PRIDE.ZAM012A_RH_ZAM00.2011-2012.edi,7.937813440129958,86735412.19586286,80
PRIDE.ZAM013A_RH_ZAM01.2011-2012.edi,7.78625339793898,61137201.40117197,88
PRIDE.ZAM014A_RH_ZAM01.2011-2012.edi,7.939321918610103,87072897.62004727,92
PRIDE.ZAM015A_RH_ZAM01.2011-2012.edi,7.971323072406719,93612799.44338167,88
PRIDE.ZAM016A_RH_ZAM01.2011-2012.edi,8.20853031393408,161640586.0266701,92
PRIDE.ZAM017A_RH_ZAM01.2011-2012.edi,7.8781586833994695,75540865.4473813,84
PRIDE.ZAM018A_RH_ZAM01.2011-2012.edi,8.005968852695196,101540565.66788629,84
PRIDE.ZAM01B_RH_ZAM03B.2011-2012.edi,8.116291548198795,130712237.99388579,80
PRIDE.ZAM02B_RH_ZAM07B.2011-2012.edi,9.093009872395106,1238824747.2113695,69
PRIDE.ZAM03B_RH_ZAM01B.2011-2012.edi,8.915933677276088,824016020.0160835,80
PRIDE.ZAM04B_RH_ZAM05B.2011-2012.edi,9.072491421614838,1181684508.936591,80
PRIDE.ZAM05B_RH_ZAM04B.2011-2012.edi,9.066949143935862,1166871235.4423141,56
PRIDE.ZAM06B_LH_ZAM06B.2011-2012.edi,8.639116937088135,435629154.3543348,65
PRIDE.ZAM07B_RH_ZAM09B.2011-2012.edi,7.644573093119327,44119624.84948583,80
PRIDE.ZAM08B_RH_ZAM07B.2011-2012.edi,7.665959218144143,46368575.21472335,52
PRIDE.ZAM09B_RH_ZAM07B.2011-2012.edi,7.867424629272051,73819152.12152687,80
PRIDE.ZAM10B_RH_ZAM18B.2011-2012.edi,7.423797027001962,26533651.884939462,65
PRIDE.ZAM12B_RH_ZAM13B.2011-2012.edi,7.17491662753272,14959484.480121927,73
PRIDE.ZAM13B_RH_ZAM12B.2011-2012.edi,7.083782225693594,12127805.56587447,73
PRIDE.ZAM14B_RH_ZAM15B.2011-2012.edi,6.675043110945327,4731982.294189928,61
PRIDE.ZAM15B_RH_ZAM16B.2011-2012.edi,7.052209760934976,11277420.154807776,65
PRIDE.ZAM16B_RH_ZAM15B.2011-2012.edi,7.640334675384538,43685234.908489086,65
PRIDE.ZAM17B_LH_ZAM17B.2011-2012.edi,7.278140059374747,18973177.049136672,73
PRIDE.ZAM18B_RH_ZAM10B.2011-2012.edi,7.700596159045363,50187568.92323378,65
PRIDE.ZAM19B_RH_ZAM20B.2011-2012.edi,7.783577576170854,60933509.74194084,84
PRIDE.ZAM20B_RH_ZAM19B.2011-2012.edi,7.782203343771641,60588340.902664796,84
PRIDE.ZAM21B_RH_ZAM20B.2011-2012.edi,7.927699342772116,84664568.46021223,56
PRIDE.ZAM22B_LH_ZAM22B.2011-2012.edi,7.292644618473089,19624920.008577157,84
PRIDE.ZAM23B_RH_ZAM24B.2011-2012.edi,7.391521066956872,24633223.38709883,64
PRIDE.ZAM24B_RH_ZAM23B.2011-2012.edi,7.534930762747914,34323945.25908054,64
PRIDE.ZAM25B_RH_ZAM27B.2011-2012.edi,7.374201080719612,23697920.169636354,84
PRIDE.ZAM26B_RH_ZAM28B.2011-2012.edi,7.429105407747413,26879850.247010864,84
PRIDE.ZAM27B_RH_ZAM25B.2011-2012.edi,7.6596650906424895,45691857.85815568,84
PRIDE.ZAM28B_RH_ZAM26B.2011-2012.edi,7.526104631454837,33581910.0010237,84
PRIDE.ZAM29B_RH_ZAM30B.2011-2012.edi,7.58038986216034,38056567.16107377,80
PRIDE.ZAM30B_RH_ZAM29B.2011-2012.edi,7.607444522824254,40530461.79959676,80
PRIDE.ZAM31B_RH_ZAM39B.2011-2012.edi,7.746239828953555,55753549.738584325,80
PRIDE.ZAM32B_RH_ZAM33B.2011-2012.edi,7.772503533085933,59340655.56211837,84
PRIDE.ZAM33B_RH_ZAM32B.2011-2012.edi,7.485018881183881,30565490.899408463,84
PRIDE.ZAM34B_RH_ZAM40B.2011-2012.edi,7.880157876474802,75928480.75403221,76
PRIDE.ZAM35B_RH_ZAM38B.2011-2012.edi,7.722365729759436,52767404.12867655,71
PRIDE.ZAM36B_RH_ZAM37B.2011-2012.edi,7.692466539871051,49262071.24021119,80
PRIDE.ZAM37B_RH_ZAM36B.2011-2012.edi,7.434978136520048,27225764.11695928,80
PRIDE.ZAM38B_RH_ZAM35B.2011-2012.edi,-5.212499419476795,6.1305661162454605e-06,71
PRIDE.ZAM39B_RH_ZAM42B.2011-2012.edi,7.496335233670338,31362438.498484462,84
PRIDE.ZAM40B_RH_ZAM34B.2011-2012.edi,7.422834174699916,26477134.76343932,76
PRIDE.ZAM42B_RH_ZAM39B.2011-2012.edi,7.323590716688578,21074169.00264357,84
PRIDE.ZAMC64L.2011-2012.edi,6.028210449964429,1067113.0965072864,25
PRIDE.ZAMC65L1.2011-2012.edi,6.974096938914281,9421734.07987672,24
PRIDE.ZAMC65L2.2011-2012.edi,8.246060493126633,176231860.893467,24
SAMTEX.CPV001.2006.edi,6.986982912718811,9704807.991575755,80
SAMTEX.CPV002.2006.edi,7.231029204320546,17022734.05379221,80
SAMTEX.CPV003.2006.edi,7.207785113147946,16135611.09183683,80
SAMTEX.CPV004.2006.edi,7.045605470554164,11110726.05799058,84
SAMTEX.CPV005.2006.edi,7.367242904664927,23295719.169545628,84
SAMTEX.CPV006.2006.edi,7.187134722073649,15386830.303982962,80
SAMTEX.CPV007.2006.edi,7.025073007688749,10594340.166813727,86
SAMTEX.CPV008.2006.edi,7.296178064931693,19799691.293798286,86
SAMTEX.CPV009.2006.edi,7.374964633710025,23732229.98468926,80
SAMTEX.CPV010.2006.edi,8.108279488404172,128393063.6345005,80
SAMTEX.CPV011.2006.edi,8.76325184545587,579867427.090727,80
SAMTEX.CPV012.2006.edi,8.86566613114869,734034089.3461726,80
SAMTEX.CPV013.2006.edi,8.786735017899737,611991733.4434881,80
SAMTEX.CPV014.2006.edi,8.252261492307401,178771560.65634918,80
SAMTEX.CPV015.2006.edi,8.246785544915683,176520116.02528036,80
SAMTEX.CPV016.2006.edi,8.62065768574193,417529843.57405555,80
SAMTEX.CPV017.2006.edi,7.325184654560868,21176833.475287504,80
SAMTEX.CPV018.2006.edi,7.5651526321919675,36747522.37094766,80
SAMTEX.CPV019.2006.edi,7.981664777108916,95867892.46590216,80
SAMTEX.CPV020.2006.edi,8.146174786178921,140050449.07185453,80
SAMTEX.CPV021.2006.edi,7.702277225717377,50436060.28460617,80
SAMTEX.CPV022.2006.edi,7.321401904607036,20960667.620684348,80
SAMTEX.CPV023.2006.edi,7.068926170999241,11719964.010209884,80
SAMTEX.CPV024.2006.edi,7.482700486234146,30387998.728785653,80
SAMTEX.CPV025.2006.edi,7.410989891353769,25793954.073997036,80
SAMTEX.CPV026.2006.edi,7.995055051723371,98982310.74094303,80
SAMTEX.CPV027.2006.edi,7.527864580984325,33767442.22293977,80
SAMTEX.CPV028.2006.edi,7.142659065973573,13888986.035461567,80
SAMTEX.CPV029.2006.edi,7.0583741866528715,11438659.881677711,80
SAMTEX.ELG001A.2008.edi,7.864142145399553,73147325.0651383,88
SAMTEX.ELG002A.2008.edi,7.753291717589915,56685157.91411142,100
SAMTEX.ELG003A.2008.edi,7.885218499555398,76774860.7391302,88
SAMTEX.ELG004B.2008.edi,8.339812482946087,220225304.78098977,100
SAMTEX.ELG005A.2008.edi,7.55371905868682,35794406.38796188,84
SAMTEX.ELG007A.2008.edi,8.35398534290455,225948734.6357325,96
SAMTEX.ELG008A.2008.edi,8.54653607128124,352161701.95154655,88
SAMTEX.ELG009A.2008.edi,8.14076617735792,138349551.44045496,88
SAMTEX.ELG010A.2008.edi,8.187861617769952,154126862.6551118,84
SAMTEX.ELG011A.2008.edi,8.456578835734103,286167342.8962945,96
SAMTEX.ELG012B.2008.edi,8.042187003839441,110202228.27290843,88
SAMTEX.ELG013A.2008.edi,7.958163917047925,90817675.15151072,88
SAMTEX.ELG014A.2008.edi,7.662781006932978,46044148.363489196,84
SAMTEX.ELG091A.2008.edi,8.044987711522117,111039510.5303522,80
SAMTEX.ELG092A.2008.edi,7.525640320092114,33546290.383781448,80
SAMTEX.ELG093A.2008.edi,11.818205455948739,657972096521.5803,80
SAMTEX.ELG097A.2008.edi,8.703811853605718,505641547.79412854,80
SAMTEX.ELG913A.2008.edi,8.020067864134287,104729440.90927507,80
SAMTEX.ELG914B.2008.edi,6.756662715923806,5712536.989835766,80
SAMTEX.ELZ001A.2008.edi,7.4724638917837245,29695241.02803038,84
SAMTEX.ELZ002A.2008.edi,6.733630107735181,5415507.141847803,96
SAMTEX.ELZ003A.2008.edi,7.555036354688806,35897395.84519098,84
SAMTEX.ELZ101A.2008.edi,6.744770087321994,5556351.73796563,92
SAMTEX.ELZ102B.2008.edi,7.124058081777132,13306324.273466993,96
SAMTEX.ELZ103A.2008.edi,6.9968632777314905,9928110.38518733,84
SAMTEX.ELZ191A.2008.edi,7.117995200517312,13122433.624071222,76
SAMTEX.ELZ192A.2008.edi,7.340025410877198,21878921.324550822,80
SAMTEX.ELZ201A.2008.edi,6.89519431132625,7855883.429028037,92
SAMTEX.ELZ291A.2008.edi,7.236311639286658,17252695.888378773,76
SAMTEX.ELZ294A.2008.edi,6.9226765949686735,8371680.128455445,80
SAMTEX.ELZ555A.2008.edi,6.852323703165336,7117609.722514775,88
SAMTEX.ETO001A.2008.edi,8.808033019545835,642868964.4354578,84
SAMTEX.ETO002A.2008.edi,8.669726844282724,467720685.60814553,88
SAMTEX.ETO003A.2008.edi,9.17112411645842,1484633984.4858825,84
SAMTEX.ETO004A.2008.edi,8.522425115728549,333027587.92311096,88
SAMTEX.ETO005A.2008.edi,8.744600194565582,555703195.0063853,84
SAMTEX.ETO006A.2008.edi,8.695972054436183,496665636.32776344,88
SAMTEX.ETO007C.2008.edi,8.503065200937884,319036157.89771163,88
SAMTEX.ETO008A.2008.edi,8.085837251843747,121854564.54124206,88
SAMTEX.ETO009A.2008.edi,7.794975437002151,62371046.03330418,88
SAMTEX.ETO010A.2008.edi,8.223967210471528,167507277.96804672,88
SAMTEX.ETO011A.2008.edi,7.658508441544008,45582502.03877443,88
SAMTEX.ETO012A.2008.edi,9.0238612075537,1056479851.4446771,84
SAMTEX.ETO013A.2008.edi,9.501423511736844,3172687230.781258,88
SAMTEX.ETO014A.2008.edi,9.427162116570766,2674662196.596331,84
SAMTEX.ETO015A.2008.edi,9.092149764116687,1236377345.8090625,88
SAMTEX.ETO016A.2008.edi,9.591890659990742,3909223319.319176,84
SAMTEX.ETO017A.2008.edi,9.083913339716634,1213181407.603715,88
SAMTEX.ETO018A.2008.edi,9.527411819363174,3370183942.508228,84
SAMTEX.ETO019A.2008.edi,8.8119759097417,648631449.6807698,88
SAMTEX.ETO020A.2008.edi,7.061613580704419,11524313.873681266,84
SAMTEX.ETO021A.2008.edi,8.29993023938071,199494197.8263167,88
SAMTEX.ETO022A.2008.edi,8.19039799936111,155025404.7213928,84
SAMTEX.ETO023A.2008.edi,7.025698789149236,10611710.201148493,88
SAMTEX.ETO024A.2008.edi,7.220506575578544,16616812.761225598,84
SAMTEX.ETO025A.2008.edi,8.495642017893243,313080863.08965635,84
SAMTEX.ETO026A.2008.edi,7.180425034840818,15150999.412549928,84
SAMTEX.GIB001A.2008.edi,7.4822954528789225,30359779.5863968,84
SAMTEX.GIB002A.2008.edi,7.471959561609894,29646234.141827922,88
SAMTEX.GIB004A.2008.edi,7.2127301944483095,16325184.48178717,84
SAMTEX.GIB005B.2008.edi,7.299518503952962,19941567.854118317,88
SAMTEX.GIB006A.2008.edi,7.333636069739513,21587673.58005244,84
SAMTEX.GIB007A.2008.edi,7.400476940686623,25146465.26227603,88
SAMTEX.GIB008A.2008.edi,7.572840805418986,37399225.658043295,84
SAMTEX.GIB009A.true.2008.edi,7.49427422226236,31208705.717826866,88
SAMTEX.GIB010A.2008.edi,7.438021631138007,27417477.551629417,84
SAMTEX.GIB011A.2008.edi,7.882605467363643,76318992.62325472,88
SAMTEX.GIB012A.2008.edi,8.088447318605578,122588088.42247784,84
SAMTEX.GIB013A.2008.edi,7.7918882112162136,61928861.7923568,88
SAMTEX.GIB014A.2008.edi,8.164585241391261,146078144.17914873,88
SAMTEX.GIB015A.true.2008.edi,8.303819703756954,201288860.9880204,88
SAMTEX.GIB016A.2008.edi,9.102474444214199,1266621439.2412214,88
SAMTEX.GIB017A.2008.edi,8.77040960720573,589400142.8903296,84
SAMTEX.GIB018a.true.2008.edi,7.8911554639158465,77831512.11432251,84
SAMTEX.KXT001A_auto.tru.2008.edi,8.424069556956592,265520062.02283835,84
SAMTEX.KXT002A_auto.tru.2008.edi,8.712228257569238,515723178.8030528,88
SAMTEX.KXT003A_auto.tru.2008.edi,8.109847872215536,128779840.04878372,84
SAMTEX.KXT004A_auto.tru.2008.edi,7.635005196456314,43153991.12263665,92
SAMTEX.KXT005A_auto.tru.2008.edi,7.66657718422048,46420008.252746895,84
SAMTEX.KXT006A_auto.tru.2008.edi,7.320073916412989,20897769.113645606,88
SAMTEX.KXT007A_auto.tru.2008.edi,7.206430396624592,16086434.112270541,84
SAMTEX.KXT008A_auto.tru.2008.edi,7.972355976602236,93833156.8966127,88
SAMTEX.KXT009A_auto.tru.2008.edi,7.384609612220327,24244345.971226707,84
SAMTEX.KXT010A_auto.tru.2008.edi,8.489341827965722,308569128.0611665,88
SAMTEX.LIM001A.2008.edi,8.074020451443792,118707277.45506845,84
SAMTEX.LIM002A.2008.edi,8.587808988105357,387101150.3693379,84
SAMTEX.LIM003A.2008.edi,9.39975123569636,2510582309.204067,88
SAMTEX.LIM004A.2008.edi,8.33764631056814,217594934.93442374,88
SAMTEX.LIM006A.2008.edi,9.100718458210864,1261018221.9790528,84
SAMTEX.LIM007A.2008.edi,9.461805806559875,2896125532.667674,88
SAMTEX.LIM008A.2008.edi,9.141536405823732,1385276319.4821997,88
SAMTEX.LOW001A_auto.tru.2008.edi,8.759654733824146,577850169.8787153,84
SAMTEX.LOW002A_auto.tru.2008.edi,9.651508423115022,4487803446.075455,84
SAMTEX.LOW003B_auto.tru.2008.edi,7.843056873980711,69686886.2318843,88
SAMTEX.LOW004B_auto.tru.2008.edi,7.715962021261832,51996131.11905728,84
SAMTEX.LOW005A_auto.tru.2008.edi,9.100640287732432,1260783039.0109744,84
SAMTEX.LOW006B_auto.tru.2008.edi,9.297492407350887,1988806385.3829784,84
SAMTEX.LOW007A_auto.tru.2008.edi,9.151669056655656,1418016474.1964657,88
SAMTEX.LOW008A_auto.tru.2008.edi,9.781438582999106,6048191868.300571,84
SAMTEX.LOW009A_auto.tru.2008.edi,9.599351756066195,3975230867.003604,88
SAMTEX.LOW010A_auto.tru.2008.edi,9.926343575727241,8440023559.03248,84
SAMTEX.LOW011A_auto.tru.2008.edi,9.844649506209539,6992792868.819452,88
SAMTEX.LOW012A_auto.tru.2008.edi,10.346628962658258,22287705553.507065,84
SAMTEX.NEN001.2006.edi,8.693215726802045,493419998.86966425,84
SAMTEX.NEN002.2006.edi,8.774195691665469,594564409.2851739,84
SAMTEX.NEN003.2006.edi,8.487308184050356,307141557.11530083,84
SAMTEX.NEN004.2006.edi,8.651414641001642,448255225.2430347,88
SAMTEX.NEN005.2006.edi,9.276611628074617,1890718726.3421884,80
SAMTEX.NEN006.2006.edi,8.55055297873032,355794900.8981522,80
SAMTEX.NEN007.2006.edi,6.7490857991253925,5611709.396776438,84
SAMTEX.NEN008.2006.edi,6.686249060973238,4855847.171024656,84
SAMTEX.NEN009.2006.edi,7.942015517256508,87659229.64827254,80
SAMTEX.NEN010.2006.edi,7.996269363326524,99183953.64432037,84
SAMTEX.NEN011.2006.edi,8.490994284754645,309745155.03108,80
SAMTEX.NEN012.2006.edi,9.407368605809259,2554916142.9472213,80
SAMTEX.NEN013.2006.edi,7.894039475948567,78361654.1916085,84
SAMTEX.NEN014.2006.edi,7.271111609820277,18674438.259837255,84
SAMTEX.NEN015.2006.edi,7.091120865157336,12334575.442283269,84
SAMTEX.NEN016.2006.edi,6.931625871411722,8543417.40604619,84
SAMTEX.NEN017.2006.edi,7.108819075252414,12847881.69605584,88
SAMTEX.NEN018.2006.edi,7.229236495464717,16954485.94129601,76
SAMTEX.NEN019.2006.edi,7.2715562001261045,18687720.96297834,72
SAMTEX.NEN020.2006.edi,6.977724669959901,9500132.406828806,80
SAMTEX.NEN021.2006.edi,6.821788186365634,6634405.000031073,80
SAMTEX.NEN022.2006.edi,7.164291106270318,14598655.555222375,84
SAMTEX.NEN023.2006.edi,6.983676483749678,9631275.751541732,84
SAMTEX.NEN117.2006.edi,6.896644794501874,7882244.256212059,80
SAMTEX.NEN118.2006.edi,6.911664205689439,8160705.694275752,80
SAMTEX.NEN119.2006.edi,6.816920212450542,6560247.920507375,80
SAMTEX.RAK001A.2008.edi,6.985375606474149,9669230.238707418,84
SAMTEX.RAK002A.2008.edi,7.3855123650005705,24317264.470713183,84
SAMTEX.RAK003A.2008.edi,7.618567887851125,41552343.773064494,88
SAMTEX.RAK004A.2008.edi,6.300415211640251,1998919.9845825722,84
SAMTEX.RAK005A.2008.edi,6.847371942017057,7041205.843278125,88
SAMTEX.RAK006A.2008.edi,6.5000136778214,3162594.7552614408,84
SAMTEX.RAK007A.2008.edi,6.334844129871889,2162144.727557749,88
SAMTEX.RAK008A.2008.edi,6.294878066973708,1972973.5497755455,84
SAMTEX.RAK009A.2008.edi,6.50181607775443,3175545.4397469386,88
SAMTEX.RAK010A.2008.edi,6.942224718081468,8755192.118053284,88
SAMTEX.RAK011A.2008.edi,6.832708372199129,6803246.287835926,84
SAMTEX.RAK012A.2008.edi,6.917706373921906,8274628.191241011,88
SAMTEX.RAK013A.2008.edi,6.919272272274258,8306631.249792561,84
SAMTEX.RAK014A.2008.edi,6.846521065947498,7027760.052649299,88
SAMTEX.RAK015A.2008.edi,7.086560900483462,12205649.707458936,84
SAMTEX.RAK016A.2008.edi,7.130788677442226,13514158.3635921,88
SAMTEX.RAK017A.2008.edi,6.9784045334745635,9514924.426143892,84
SAMTEX.RAK018A.2008.edi,7.009982707890225,10232593.03470767,88
SAMTEX.RAK019A.2008.edi,7.173062182255675,14897264.526826076,84
SAMTEX.RAK020A.2008.edi,7.069162048011692,11726852.712482195,84
SAMTEX.RAK021A.2008.edi,6.950222253602622,8917078.6310287,84
SAMTEX.RAK022A.2008.edi,6.9991119018366295,9986374.122017477,84
SAMTEX.RAK023A.2008.edi,6.973476183241976,9416134.223253306,84
SAMTEX.RAK024A.2008.edi,6.94489751275859,8808448.644927055,80
SAMTEX.RAK025A.2008.edi,7.119610970277968,13179191.238063753,84
SAMTEX.RAK053A.2008.edi,7.076285362806209,11920370.773108542,88
SAMTEX.RAK054A.2008.edi,6.701491936804429,5030387.338914903,88
SAMTEX.RAK099A.2008.edi,6.508369015183513,3224840.4794978825,84
SAMTEX.bot201.2005.edi,9.462566503790907,2901125415.86525,47
SAMTEX.bot202.2005.edi,9.41492802209984,2599728660.8050413,47
SAMTEX.bot203.2005.edi,5.2852350904133365,192856.85951076628,47
