Site,Skew,Lat,Lon,Is1D,Slope_1_100s
PRIDE.ZAM001A_RH_ZAM00.2011-2012,0.1301387238595023,-17.382805555555557,24.648191666666666,True,0.2463824577930183
PRIDE.ZAM009A_RH_ZAM01.2011-2012,0.1614442938706959,-16.185,25.037358333333337,True,-0.2823556199276585
PRIDE.ZAM011A_RH_ZAM00.2011-2012,0.1466956402331498,-15.83025,24.99688888888889,True,-0.1933658652505309
PRIDE.ZAM013A_RH_ZAM01.2011-2012,0.1925717660282065,-15.54213888888889,24.77146944444444,True,0.322431151426879
PRIDE.ZAM01B_RH_ZAM03B.2011-2012,0.1086254001686341,-17.447219444444446,24.21527777777778,True,0.1733216858768427
PRIDE.ZAM14B_RH_ZAM15B.2011-2012,0.0885020986855067,-16.349805555555555,22.497691666666668,True,-0.1138070444814615
PRIDE.ZAM16B_RH_ZAM15B.2011-2012,0.1781281226760739,-16.38660833333333,22.868277777777777,True,0.4278232330691404
PRIDE.ZAM21B_RH_ZAM20B.2011-2012,0.1465850622864999,-16.00713888888889,23.336277777777777,True,0.3891197853234854
PRIDE.ZAM31B_RH_ZAM39B.2011-2012,0.0991210338773864,-14.966080555555555,24.319666666666667,True,0.4531119341094036
PRIDE.ZAM33B_RH_ZAM32B.2011-2012,0.1856614688467385,-14.847441666666668,24.671858333333333,True,0.4701177594307686
PRIDE.ZAM34B_RH_ZAM40B.2011-2012,0.1367845374221247,-14.710691666666666,24.553055555555556,True,0.4519023356275083
SAMTEX.CPV001.2006,0.0481380268230189,-17.859811111111114,19.136552777777776,True,0.6688140543919165
SAMTEX.CPV002.2006,0.0899340572836463,-17.878144444444445,19.337302777777776,True,0.7197598613041127
SAMTEX.CPV003.2006,0.1322931500135053,-17.892894444444444,19.509383333333332,True,0.6798383287422546
SAMTEX.CPV005.2006,0.1104261454258782,-17.923450000000003,19.938525,True,0.726262398242294
SAMTEX.CPV008.2006,0.1262019580523465,-17.97795,20.446830555555557,True,0.502983255768175
SAMTEX.CPV025.2006,0.1556565230313447,-17.76245,23.462941666666666,True,0.0284292271802832
SAMTEX.CPV027.2006,0.1413165180895164,-17.710283333333333,23.860691666666668,True,0.3384215145162826
SAMTEX.CPV029.2006,0.0957285105210336,-17.638394444444444,24.212552777777777,True,0.2772876421663238
SAMTEX.ELZ192A.2008,0.0693094207525754,-17.67272777777778,24.29319166666667,True,0.206560891013406
SAMTEX.ELZ291A.2008,0.1083042065943136,-17.723783333333333,23.930275,True,0.3471291323697076
SAMTEX.ELZ294A.2008,0.0626349622195354,-17.711672222222223,24.511941666666665,True,0.3265280880164943
SAMTEX.ETO012A.2008,0.1324965747086156,-20.15478333333333,15.070691666666669,True,-0.3198696523430573
SAMTEX.ETO013A.2008,0.1468089807565017,-19.98056111111111,14.975219444444445,True,-0.2685205091176858
SAMTEX.ETO018A.2008,0.1639929230018088,-19.17058888888889,14.381691666666669,True,-0.4866316346091792
SAMTEX.GIB004A.2008,0.0932720108403133,-24.72545,19.24286111111111,True,0.4679021453815934
SAMTEX.GIB006A.2008,0.0392005213998291,-24.8462,18.82702777777778,True,0.3667339440445768
SAMTEX.GIB010A.2008,0.06626523912808,-25.119366666666668,18.02861111111111,True,0.1155938119592637
SAMTEX.GIB014A.2008,0.1588308830750156,-25.13845,17.182083333333335,True,-0.2229480345794303
SAMTEX.GIB018a.true.2008,0.141092977330063,-25.391644444444445,16.37211111111111,True,-0.5674820017106219
SAMTEX.KXT002A_auto.tru.2008,0.1638504527859684,-30.43564444444445,26.61628055555556,True,0.3414175314649098
SAMTEX.KXT003A_auto.tru.2008,0.1493233742720866,-30.537755555555556,26.787669444444447,True,0.2846072294347589
SAMTEX.KXT004A_auto.tru.2008,0.162403948815185,-30.681283333333333,26.94469722222222,True,0.2532912409984554
SAMTEX.KXT005A_auto.tru.2008,0.0883228964370274,-30.788144444444445,27.102061111111112,True,0.1739679816979637
SAMTEX.KXT007A_auto.tru.2008,0.1945664704252786,-31.034172222222224,27.45892222222222,True,-0.1352603650736633
SAMTEX.KXT008A_auto.tru.2008,0.1705799971224757,-31.175422222222224,27.575033333333337,True,-0.0248615435375757
SAMTEX.LOW006B_auto.tru.2008,0.1630055326209186,-23.20331111111111,30.302305555555556,True,-0.7871819892002746
SAMTEX.NEN001.2006,0.1953892716378319,-21.97045,20.97735833333333,True,-0.1941836127723377
SAMTEX.NEN003.2006,0.1785555303047085,-21.63206111111111,20.853275,True,-0.2893604106658722
SAMTEX.NEN020.2006,0.1668400755590737,-18.608394444444446,20.077275,True,0.4104865191161685
SAMTEX.NEN021.2006,0.0822752965480135,-18.454533333333337,20.024775,True,0.4649611815452106
SAMTEX.NEN023.2006,0.1187597076168172,-18.10036666666667,19.952441666666665,True,0.7345679551333807
SAMTEX.RAK011A.2008,0.1443965372815078,-17.514644444444443,16.165633333333332,True,0.1025238076140128
SAMTEX.RAK017A.2008,0.1556460303909439,-17.616255555555558,17.390302777777777,True,0.3058240214090435
SAMTEX.RAK019A.2008,0.1010401117707736,-17.614394444444446,17.78946666666667,True,0.4393767239378312
SAMTEX.RAK020A.2008,0.1791436336534934,-17.620783333333335,18.010413888888888,True,0.5322142757884338
SAMTEX.RAK022A.2008,0.0675895977428576,-17.737033333333333,18.406469444444443,True,0.602001551919928
SAMTEX.RAK024A.2008,0.0840506959639529,-17.834755555555553,18.76166388888889,True,0.616138066509617
SAMTEX.RAK025A.2008,0.0806213902304555,-17.833283333333334,18.940080555555557,True,0.5835539406569419
SAMTEX.RAK054A.2008,0.0875994604076504,-17.801255555555556,24.619052777777775,True,0.2488397815213072
SAMTEX.RAK099A.2008,0.1836246951461328,-17.668644444444446,15.866355555555556,True,0.1355958804048435
SAMTEX.bot205.2005,0.1474308798527913,-26.57795,26.818608333333337,True,0.2640007837439008
SAMTEX.bot218.2005,0.172173977362354,-24.79322777777778,24.995,True,-0.3586347342190325
SAMTEX.bot222.2005,0.123755274035193,-24.569366666666667,24.29202777777778,True,-0.023211312245445
SAMTEX.bot226.2005,0.0733287957270857,-24.32742222222222,23.460083333333333,True,0.0594162683621252
SAMTEX.bot227.2005,0.0467097258602438,-24.248505555555557,23.29416666666667,True,0.0558945381801128
SAMTEX.bot228.2005,0.0636465651348456,-24.13992222222222,23.144805555555553,True,0.1511949477478314
SAMTEX.bot229.2005,0.1527149800283956,-23.965477777777775,22.998416666666667,True,0.255641369237732
SAMTEX.bot230.2005,0.0789809331072281,-23.810727777777775,22.901666666666664,True,0.3824544074286047
SAMTEX.bot231.2005,0.0598209357114293,-23.670755555555555,22.74119444444445,True,0.4907694759914149
SAMTEX.bot406.2005,0.1017230825663354,-24.523533333333333,25.51897222222222,True,-0.3548163690182916
SAMTEX.bot407.2005,0.0292917118578589,-24.34572777777778,25.52583055555555,True,-0.4044773375560596
SAMTEX.bot408.2005,0.1009943128936667,-24.17045,25.603608333333337,True,-0.3978621718392244
SAMTEX.bot410.2005,0.0899901788574125,-23.853505555555557,25.69555555555555,True,-0.1801056340370331
SAMTEX.bot411.2005,0.1100953022999221,-23.67322777777778,25.761666666666667,True,-0.0159099238688922
SAMTEX.bot412.2005,0.1391433078107219,-23.509616666666663,25.773888888888887,True,0.0863143046801276
SAMTEX.bot413.2005,0.0835083753395052,-23.35072777777778,25.86305555555556,True,0.2169427689603691
SAMTEX.bot414.2005,0.0768294732211742,-23.21433888888889,26.0575,True,0.1084140401730078
SAMTEX.bot415.2005,0.1651311980560533,-23.139366666666668,26.244247222222224,True,-0.0404145916906427
SAMTEX.bot416.2005,0.1569011862542475,-22.96600555555555,26.37638888888889,True,-0.1980395092790963
SAMTEX.bot420.2005,0.0403474912728158,-22.293533333333336,26.76758055555555,True,-0.0764457008348658
SAMTEX.bota13.2005,0.1119845586838729,-25.59378333333333,25.565830555555557,True,-0.2279748042102605
SAMTEX.botb13.2005,0.1139317734755922,-25.41933888888889,25.604166666666668,True,-0.2630543699682197
SAMTEX.dmb001.2006,0.0736327522448811,-18.312116666666668,17.998330555555558,True,0.3685915207536337
SAMTEX.dmb003.2006,0.1972156181555625,-18.66683888888889,17.998608333333333,True,0.027224271889602
SAMTEX.dmb004.2006,0.1136137206378848,-18.832116666666668,18.093774999999997,True,-0.0282433939692497
SAMTEX.dmb008.2006,0.1712214909043229,-19.569616666666665,18.14527777777778,True,-0.3748499285385163
SAMTEX.dmb010.2006,0.1510779682487587,-19.88045,18.304441666666666,True,0.2682589572427629
SAMTEX.dmb014.2006,0.1751089539318513,-20.601144444444447,18.372636111111113,True,-0.5184820728304195
SAMTEX.dmb017.2006,0.1486510532029592,-21.19183888888889,18.524441666666664,True,-0.4064168005178877
SAMTEX.dmb019.2006,0.1935097693936544,-21.54183888888889,18.610555555555557,True,-0.382392855295088
SAMTEX.dmb022.2006,0.1723768950330054,-22.02045,18.834163888888888,True,-0.4079668656605597
SAMTEX.dmb029.2006,0.1427728901043033,-23.283255555555556,19.018219444444444,True,-0.114996461155372
SAMTEX.dmb030.2006,0.0787351197403699,-23.453477777777778,19.110997222222224,True,0.0316362308315962
SAMTEX.dmb031.2006,0.0578339716803942,-23.634977777777777,19.121583333333337,True,0.0997796519277824
SAMTEX.dmb032.2006,0.1330779812750281,-23.788505555555556,19.231388888888887,True,0.1319781309360308
SAMTEX.dmb033.2006,0.0477699377468506,-23.97853333333333,19.23311111111111,True,0.1572210545491939
SAMTEX.dmb035.2006,0.0414800765948906,-24.301561111111113,19.254719444444444,True,0.260009494876112
SAMTEX.dmb101A.2006,0.1415331777323502,-17.842616666666665,18.000855555555557,True,0.5384572430897238
SAMTEX.dmb102A.2006,0.0924042998151572,-18.012866666666667,18.000080555555556,True,0.3983651222315987
SAMTEX.k2g003.2006,0.1083804524883289,-22.02608888888889,21.53738611111111,True,-0.1505255463685323
SAMTEX.k2g004.2006,0.1525988269739723,-22.18506111111111,21.595913888888887,True,-0.0871706054648109
SAMTEX.k2g005.2006,0.1217736554852235,-22.388116666666665,21.718552777777777,True,-0.2918790410233151
SAMTEX.k2g006.2006,0.1037161499734006,-22.53017222222222,21.833108333333332,True,-0.3138605303565684
SAMTEX.k2g007.2006,0.0934017439673887,-22.634866666666667,21.92005277777778,True,-0.2808102350532315
SAMTEX.k2g008.2006,0.0430297534539565,-22.83156111111111,22.04305555555556,True,0.0895753487460494
SAMTEX.k2g009.2006,0.0575869693351276,-22.933200000000003,22.13288888888889,True,0.2894062757723978
SAMTEX.k2g010.2006,0.0804523842450157,-23.0877,22.252416666666665,True,0.4321317333302114
SAMTEX.k2g011.2006,0.0532206037626128,-23.217366666666663,22.371694444444444,True,0.4843203028516413
SAMTEX.k2g012.2006,0.1051326995022539,-23.36008888888889,22.488666666666667,True,0.5174765919149441
SAMTEX.k2g013.2006,0.0932145479376478,-23.49950555555556,22.604861111111113,True,0.5568126257475928
SAMTEX.k2g014.2006,0.1286427377068206,-23.649144444444445,22.71975,True,0.5141856928319183
SAMTEX.kal001.2008,0.1167123201056249,-21.99445,21.751719444444443,True,-0.1478129408050526
SAMTEX.kal007.2008,0.1628446065886983,-22.275866666666666,22.86966388888889,True,0.2502635079949858
SAMTEX.kal008.2008,0.1865787036152651,-22.34331111111111,23.04866388888889,True,0.3702376921354282
SAMTEX.kal009.2008,0.0663979748017298,-22.367116666666668,23.2385,True,0.5230179827160177
SAMTEX.kal010.2008,0.1531580041800829,-22.370144444444445,23.43588888888889,True,0.5227624893830051
SAMTEX.kal011.2008,0.1565526874070062,-22.372311111111113,23.639913888888888,True,0.5870654999330713
SAMTEX.kal012.2008,0.0622199427522442,-22.510533333333335,23.83621944444444,True,0.6417443931062086
SAMTEX.kal014.2008,0.1406940202265042,-22.640866666666668,24.168277777777774,True,0.5038272972914329
SAMTEX.kal016.2008,0.057113101926734,-22.640394444444443,24.551358333333333,True,0.5173495389437553
SAMTEX.kal017.2008,0.0838093155476053,-22.6447,24.75638888888889,True,0.3857727333048046
SAMTEX.kal018.2008,0.0664506073749358,-22.472116666666665,24.866469444444444,True,0.358774275434793
SAMTEX.kal019.2008,0.0336980444109295,-22.385838888888888,25.047027777777775,True,0.3629050483266936
SAMTEX.kal020.2008,0.0984772175203566,-22.27667222222222,25.204580555555555,True,0.322108231992793
SAMTEX.kal021.2008,0.0570455212896354,-22.175116666666668,25.34521944444444,True,0.4030024527238789
SAMTEX.kal022.2008,0.0534442291134805,-22.05583888888889,25.512108333333337,True,0.0620985509490249
SAMTEX.kal023.2008,0.0659221644535124,-21.938616666666668,25.672997222222225,True,0.0265839220336514
SAMTEX.kal024.2008,0.0711574006238089,-21.829894444444445,25.822941666666665,True,0.0599950755596147
SAMTEX.kap001.2003,0.1862325293017578,-32.39961666666667,20.20888888888889,True,-0.5349720867827872
SAMTEX.kap005.2003,0.1510264825233198,-31.83156111111111,20.7775,True,-0.0379763984669577
SAMTEX.kap008.2003,0.1870251322167543,-31.40545,21.189441666666667,True,0.2466486321108731
SAMTEX.kap010.2003,0.124582858556624,-31.14795,21.466941666666663,True,0.3027630587427535
SAMTEX.kap013.2003,0.1115329222588648,-30.73444166666667,21.89110833333333,True,0.8012715262227817
SAMTEX.kap017.2003,0.1434682557164794,-30.21878333333333,22.413888888888888,True,0.0181693116481414
SAMTEX.kap020.2003,0.1105621728506604,-29.804616666666668,22.855,True,0.3973258338892861
SAMTEX.kap024.2003,0.1381087896663674,-29.234894444444446,23.37,True,-0.0938161344935663
SAMTEX.kap034.2003,0.1343641419311567,-27.85683888888889,24.684166666666663,True,0.1470081551456168
SAMTEX.kap061.2003,0.1811040299941228,-24.116005555555557,28.123330555555555,True,-0.4088930352455839
SAMTEX.kap067.2003,0.1519423971823439,-23.174441666666667,28.948055555555555,True,-0.2644079753765871
SAMTEX.kap068.2003,0.1519423509939176,-23.174441666666667,28.948055555555555,True,-0.264407317032597
SAMTEX.kap074.2003,0.1550151917650475,-22.30989444444445,29.718055555555555,True,-0.5392502633710797
SAMTEX.kim009_H.2003-2006,0.1351930328817497,-28.734061111111114,24.5125,True,0.6228181800927902
SAMTEX.kim012.2003-2006,0.1879989582672282,-29.132394444444444,25.0125,True,0.4587192575611117
SAMTEX.kim015.2003-2006,0.182583707946706,-29.493783333333333,25.445830555555556,True,0.3224814678005592
SAMTEX.kim016.2003-2006,0.1482786011923426,-29.64433888888889,25.616388888888892,True,0.3379859844447281
SAMTEX.kim020.2003-2006,0.0925468697248831,-30.079366666666665,26.169530555555557,True,0.4076579823817328
